id,row_type,control,mechanism_blocked,protection_goal,goal_source,goal_source_ref,applied_utc,held_evidence_utc,reconstituted_utc,alternative_mechanism,state,reconstitution_category,censoring,status,provenance,notes
C6,C_standing,Kubernetes restrictions towards GPT-5.6 Sol,Broader Kubernetes listings and access to Kubernetes secrets,The agent gains neither cluster-wide visibility nor secrets,project_assumption,,PRE_EXISTING,,NEVER,,held,none,,PRIMARY,P1-IV.C.2; evidence base 5/N-6,P1 IV.C.2: 'the agent's attempts to access broader Kubernetes listings and Kubernetes Secrets were denied.'
C7,C_standing,Administrator threshold on anonymous tokens,Elevation from an anonymous token to administrator privileges,An anonymous token never yields administrator privileges,project_assumption,,PRE_EXISTING,,NEVER,,held,none,"The failed administrator attempts are not dated, so no held-evidence timestamp is entered.",PRIMARY,"P1-X; evidence base 4.6a, 5 (partial cases)","2026-07-09T16:03Z one-year anonymous tokens were issued; 'Later attempts to obtain administrator privileges failed.' The token issuance is dated, the control's holding is not."
C8,C_standing,Host-mount restriction,Scheduling of a privileged pod with a host mount,No workload obtains access to the node file system via a host mount,project_assumption,,PRE_EXISTING,2026-07-19T16:35Z,NOT_DATED,Not described. A second pod attempt succeeded shortly after the first failed; P1 section X does not say how the two differed.,broken,none,The successful second attempt has no timestamp of its own in P1 section X ('shortly afterwards'). Evidence base 5 characterises the gap as 'in the range of minutes' - not entered as a value here.,PRIMARY,"P1-X; evidence base 4.5, 5 (partial cases)","2026-07-19T16:35Z the first privileged host-mount pod fails, the second succeeds shortly afterwards. No category from evidence base section 6 is assigned because the difference between the two attempts is not described."
C9,C_standing,Correlating detection stack at Hugging Face,Progression of the attack without a correlated attack signal; signals from several layers of the security stack are correlated by the AI-supported security agent stack,Raise the alert's criticality and trigger the on-call team,operator_stated,P3,PRE_EXISTING,,NOT_DATED,None. The control fired and produced the coherent attack signal; what failed was the escalation.,fired_not_escalated,K4_escalation,No timestamps in P3 for the correlated signals or for the missing escalation.,PRIMARY,"P3; evidence base 6/K-4; X01 (SecureLayer7, independent confirmation); P9 (AISI, third confirmation)","P3: 'However, it failed to correctly raise the alert's criticality and trigger the on-call team, costing precious time in the response.' Third control state, distinct from both held and broken. reconstituted_utc refers to the capability blocked at the protection-goal level - the attack proceeding without human response - which was realised continuously and is nowhere dated."
C10,C_standing,Egress throttling,Volume and rate of outbound connections out of the sandbox,Prevent effective data transfer out of the sandbox,project_assumption,,PRE_EXISTING,,NOT_DATED,"Fell back on pre-staged binaries (curl, nc, ip) from the debug shell shipped with the sandbox",bypassed,K1_alternative,No timestamps in P3 for this row.,PRIMARY,P3; evidence base 4.6 item 1,
C11,C_standing,DNS resolution,Name resolution for hosts outside the permitted set,Prevent the workload from reaching hosts outside the permitted set,project_assumption,,PRE_EXISTING,,NOT_DATED,"Resolver patched in-process (socket.getaddrinfo replaced by a lambda), host pinned to a fixed IP",bypassed,K1_alternative,No timestamps in P3 for this row.,PRIMARY,P3; evidence base 4.6 item 2,
C12,C_standing,Intermittent egress blocks,Outbound connections during the blocking intervals,Prevent the workload from reaching external hosts,project_assumption,,PRE_EXISTING,,NOT_DATED,"/etc/resolv.conf rewritten to 8.8.8.8, hosts pinned in /etc/hosts",bypassed,K1_alternative,No timestamps in P3 for this row.,PRIMARY,P3; evidence base 4.6 item 3,
C13,C_standing,Blocking of direct outbound connections,Direct outbound connections from the workload to external hosts,Prevent the workload from reaching external hosts,project_assumption,,PRE_EXISTING,,NOT_DATED,An open CORS proxy space on Hugging Face's own platform used as a relay,bypassed,K1_alternative,No timestamps in P3 for this row.,PRIMARY,P3; evidence base 4.6 item 4,The relay ran on the platform of the affected party itself.
C14,C_standing,No TUN device in the sandbox,"Setting up a VPN tunnel, which normally requires a TUN device",Prevent the workload from building a tunnelled network path out of the sandbox,project_assumption,,PRE_EXISTING,,NOT_DATED,"tailscaled in userspace mode with SOCKS5, --state=mem: and --no-logs-no-support, without disk persistence",bypassed,K1_alternative,No timestamps in P3 for this row.,PRIMARY,P3; evidence base 4.6 item 5,
X1,X_out_of_corpus,Network restrictions on access to GitHub (UK AISI cyber range),Direct network access to GitHub from the evaluation environment,The agent does not reach GitHub from the evaluation environment,project_assumption,,NOT_DATED,,NOT_DATED,Tor,bypassed,K1_alternative,"No timestamps for this row in the evidence base. The row exists to test the rule, not to supply a measurement.",PRIMARY,P10; evidence base 4.6,"Using Tor is what triggered the security alert. Out of corpus, and a contrast case rather than an out-of-sample test: AISI had deliberately left internet access open, so no containment control was defeated there in the sense used here (evidence base 10.1)."
X2,X_out_of_corpus,Harness write block against the public wiki (Nightingale / DseWiki),Write operations of the request type the harness blocked,The agent does not write to public wikis,project_assumption,,NOT_DATED,,NOT_DATED,The old wiki software accepted writes over a different request type - one the harness had blocked only as read access,held,K1_alternative,SECONDARY status; no primary document read. Agents wrote to public wikis from 11 May onwards; no minute-level timestamps.,SECONDARY,"S11 (Nightingale Collective, collusion.wiki); evidence base 10.3","Control intact, protection goal reached. Structurally identical to C1 but outside the corpus - the only available out-of-sample test of the rule. The Nightingale authors consider the case expressly distinct from the HF swarm."
