key,kind,organisation,title,date,url,read_status,notes
P5,primary_partial,METR / Redwood Research,Independent investigation,2026-08-26,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,partly_read,"Redwood mirror: https://www.redwoodresearch.org/research/hugging-face-incident . Read: core findings, scope, spoofing, limitations, chronology of 8/9 July, parts of the seven core questions. Not read: collaboration section in detail, collective projects, both methodology appendices."
P10,primary_partial,UK AISI,Technical incident report INC-2026-07-28-01 (35 pp.),2026-08-04,https://cdn.prod.website-files.com/663bd486c5e4c81588db7a1d/6a724858f7db25c81487016d_Security%20Incident%20INC-2026-07-28-01.pdf,partly_read,"Read: sections 3, 4.2.2, 5.4, 6.1, 7.1. Not read: appendices A, B. Source for row X1 and for the independent replication of K-3."
P14,primary_partial,Authors of the ExploitGym paper,"ExploitGym paper (17 pp.), arXiv 2605.11086",2026,https://arxiv.org/abs/2605.11086,partly_read,"Read: abstract, introduction, scorer/judge description, limitations."
P15,primary_partial,OpenAI,Preparedness Framework v2 (22 pp.),"December 2023, maintained",https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf,partly_read,"Read: introduction, cyber thresholds. Fully term-searched."
P16,primary_partial,OpenAI,GPT-6 Astra Safety Overview,2026-09-03,https://deploymentsafety.openai.com/gpt-6-astra/safety-overview-gpt-6-astra,partly_read,Read: monitorability and infrastructure sections. Fully term-searched.
P17,primary_partial,Anthropic,"August Risk Report (186 pp., redacted)",August 2026,https://www-cdn.anthropic.com/f61d49fa5596956a5dec75fea0e973bf6a6a8378/Redacted%20Risk%20Report%20August%202026%20.pdf,term_searched_only,Deliberate decision: the term scan carries every claim that rests on it.
S01,primary_unread,Hugging Face,First disclosure,2026-07-16,https://huggingface.co/blog/security-incident-july-2026,not_read,
S02,primary_unread,OpenAI,Joint disclosure with Hugging Face,"2026-07-21, updated 2026-07-28/29",https://openai.com/index/hugging-face-model-evaluation-security-incident/,not_read,
S03,primary_unread,OpenAI,Pacing model development in an era of cyber-critical capabilities,2026-08-18,https://openai.com/index/pacing-model-development-cyber-capabilities/,key_passages_verified,Source of the declared response budget (see evidence base section 14 and 16.3a). Declared after the incident.
S04,primary_unread,OpenAI,GPT-6 Astra: A new generation of intelligence,2026-09-03,https://openai.com/index/gpt-6-astra/,not_read,
S05,primary_unread,OpenAI,Research acceleration: The view inside OpenAI,2026-09-06,https://openai.com/index/research-acceleration-view-inside-openai/,not_read,
S06,primary_unread,OpenAI,The defenders' window,2026,https://openai.com/index/the-defenders-window/,not_read,
S07,primary_unread,OpenAI,GPT-5.6 Sol System Card,2026-07-09,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,not_read,
S08,primary_unread,UK AISI,Cheating behaviour in frontier model evaluations,2026-07-21,https://www.aisi.gov.uk/blog/cheating-behaviour-in-frontier-model-evaluations,not_read,
S09,primary_unread,JFrog,CVE advisory (nine CVEs),2026-07-27,,not_read,No URL recorded in the evidence base.
S10,primary_unread,METR,"Pre-deployment evaluation, GPT-5.6 Sol",2026-06-26,,not_read,No URL recorded in the evidence base.
S11,primary_unread,Nightingale Collective,DseWiki report,2026-09-04,collusion.wiki,not_read,Source for row X2. Status of the case: SECONDARY.
S12,primary_unread,Korbak et al.,"Chain of thought monitorability: A new and fragile opportunity for AI safety, arXiv 2507.11473",2025,https://arxiv.org/abs/2507.11473,not_read,
N1,framework,GPAI,"Code of Practice, Safety & Security chapter",2026,https://code-of-practice.ai/?section=safety-security,fully_counted,"Fully counted (143,901 characters); Commitment 9 read."
N2,framework,Cloud Security Alliance,"AI Controls Matrix v1.1.1 (247 controls, 18 domains, generated 2026-07-22)",2026-07-22,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix-v1-1,fully_counted,CSA login required. All 247 control specifications term-searched; AIS domain (15 controls) reviewed; auditing and implementation guidelines for AIS-11/13/14 read; mappings sheet evaluated. AIS-13 supplies the 'at least annually' cadence used in budgets.py.
N3,framework,NIST,"SP 800-53 Rev. 5, AU-9 and enhancements",2020 (Rev. 5),https://raw.githubusercontent.com/usnistgov/oscal-content/main/nist.gov/SP800-53/rev5/json/NIST_SP-800-53_rev5_catalog.json,read_in_full,SC-7 is the most comprehensive boundary-protection catalogue and contains no notion of time (evidence base 12.4).
N4,framework,"Fujitsu Research of Europe (Singh, Mahmoud, Murillo)","AI Sandboxes: A Threat Model, Taxonomy, and Measurement Framework (50 pp.), arXiv 2606.18532",2026-06,https://arxiv.org/abs/2606.18532,read_in_full,Ideal basis for delimitation.
N5,framework,"RAND (Nevo, Lahav et al.)","Securing AI Model Weights, RR-A2849-1",2024,https://www.rand.org/pubs/research_reports/RRA2849-1.html,not_read,"Subject matter determined via secondary sources, not read in full."
N6,framework,"Institute for Security and Technology (Thiergart, Tzfati, Wagstaff, Cosio, Reiner)","SL5 Standard for AI Security, preliminary draft v0.1, arXiv 2605.08449",2026-03,https://arxiv.org/abs/2605.08449,fully_counted,
N7,framework,Guidelight,Control Standard v1.1,2026-08-10,https://guidelight.ai/control,fully_counted,
N8,framework,Guidelight,AI Control: An Assessment of Frontier Practices,"2026-08-18, last updated 2026-08-25",https://guidelight.ai/blog/control-assessment-august-2026,read_in_full,
N9,framework,State of California,"SB 53 / TFAIA, Bus. & Prof. Code sections 22757.10-22757.15",2026,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,partly_read,Section 22757.15 checked verbatim.
X01,secondary,SecureLayer7 (Rohit Hatagale),HuggingFace AI Agent Intrusion - Technical Anatomy,2026-07-30,https://blog.securelayer7.net/huggingface-ai-agent-intrusion-technical-anatomy/,read,"Independent confirmation of K-4: 'Detection did not fail, escalation did ... That is an escalation bug, not a blind spot.'"
X02,secondary,CrowdStrike,Secure Agent Harness Execution: Preventing Escape,2026-08-04,,read,Competing artefact.
X03,secondary,TechCrunch (Rebecca Bellan),Frontier AI labs still won't say how they'd contain a rogue model,2026-08-22,https://techcrunch.com/2026/08/22/frontier-ai-labs-still-wont-say-how-theyd-contain-a-rogue-model/,read,
X04,secondary,The Register (Thomas Claburn),OpenAI's overhead will rise 20 percent for some workloads as it hardens security,2026-08-19,https://www.theregister.com/ai-and-ml/2026/08/19/openais-overhead-will-rise-20-percent-for-some-workloads-as-it-hardens-security/,read,
X05,secondary,TIME,How OpenAI Lost Control of an AI Model - and What Needs to Change,2026-07-24,https://time.com/article/2026/07/24/openai-hugging-face-attack/,read,
X06,secondary,Reuters,Its AI agent spent days hacking a company; sources say OpenAI did not notice for a week,2026-07-24,https://www.reuters.com/business/its-ai-agent-spent-days-hacking-company-sources-say-openai-did-not-notice-week-2026-07-24/,read,
X07,secondary,Agence Europe,European Commission sends first requests for information to more than 30 AI providers,2026-09-02,https://agenceurope.eu/en/bulletin/article/13929/31/european-commission-sends-first-requests-for-information-to-more-than-30-ai-providers,read,
X08,secondary,Cloud Security Alliance,CSA Lab Space research notes on agentic AI evaluation containment risk,2026,https://labs.cloudsecurityalliance.org/research/csa-research-note-agentic-ai-evaluation-containment-risk-202/,read,Second note: https://labs.cloudsecurityalliance.org/research/csa-research-note-aisi-evaluation-containment-incident-20260/
X09,secondary,Zvi Mowshowitz,Commentary on the incident,2026-08-26,,read,
X10,secondary,Elastic Security Labs,Detection rules per attack phase,2026,,read,
X11,secondary,AI Incident Database (editor: Daniel Atherton),Entry #1604,2026,,read,
X12,secondary,Wikipedia,2026 OpenAI agent cyberattacks,2026,,read,"Usable as an index of sources, not as evidence."
P21,primary_full,"Redwood Research (Alex Mallen, Member of Technical Staff)","Sprint talk, 2026-09-11, 21:15 UTC",2026-09-11,,read_transcript,"Important disclosure: Mallen was not involved in the Redwood/METR investigation. The talk rests on public information and a blog post written before the investigation report appeared. Not an additional source alongside P5. Source for the reading that the end of the swarm on 13 July was not a control action, and for the sympathetic-monitor finding."
P22,primary_full,"SaferAI (Henry Papadatos, Executive Director)","Sprint talk, 2026-09-11, 13:15 UTC",2026-09-11,,read_transcript,Co-author of the EU Code of Practice and the G7 Hiroshima reporting framework. Independently confirms the scope limits of the METR investigation (evidence base 9.2) and places the clause as an enforcement instrument rather than a new deadline.
P23,primary_full,"Boyd Kane (AI Safety Researcher, MATS 9 Extension)","Public evidence of the OpenAI-HuggingFace AI attack (LessWrong) and sprint talk, 2026-09-11, 14:15 UTC","2026-08-07 (post), 2026-09-11 (talk)",,read_transcript,"Reconstructs which artefacts of the attack are still publicly findable. Adjacent work, not a substitute: this project measures how long controls held."
